identifier,location_id
06b30bb5f743abefee016a107ad2cd08ea2fab70,560
06b783316c72e8056e7636820c6d3466760ffe2c,585
06b8fa24152f0ed2b962141c9685285f06e650ee,443
06bd3e63e6bb4151df2b4705a005f8dd194b2250,482
06bf3dffda7aaf54fccc9005e362b01e9c8f46f2,749
06c05c90531b0e87eb493e82d223ca20edfb184d,202
06c180d0204dfa44794ce2e6b76cba8f62043923,743
06c24d81f2934fce84902933c80ccdd6a68fa841,552
06c5f084f279856a2d4b8a5bc12e799ed0e7dc1d,21
06c843e7dd66dd283aa3765c8bf1fa3a5e542cba,482
06ca6a0916d2ab374d3c86393bc44ae7259c2a1b,554
06cdd4dd51bd75adb7cbb9d15a949b76e6e9f42b,86
06cf0316ac80055cdddb733991a69d515737bff9,477
06d004622c4c9d88b5c5bac4b629c1fdc855c052,482
06d921688d7ca1aed8daa3622905b512c212cc3a,441
06dc41c3b0f92f0e9842d1690b5cb4955a72fa3a,119
06df0884a52446bb9a1dbce46d23292445bf3fa8,332
06ef17f3df9fd6d20736f8b36865c785212ab68e,6
06f148264dcbb64b20a5b2df99f5087c8454e5a5,258
06fc07b4aa6cee7a7e4e80acafdf0d184f8dd336,552
06fc67e223f24ed0fedba8ef75ad5289bdcc9d58,239
0707a8ff4f0d502973e799bedd6e7d9782c7c287,482
0710aabc8fe032ef894c696073d4e56264454386,47
07123b5442609df8a4e02c60ff89298d05f96a32,251
07134bef5e9136301438c54e4484b6af962bc7b2,503
0715af76ff2d39e1da326dbb190b88d7869279a0,131
071ae416462e363688aa6c83f43f462fd9107bd0,168
071f186ac7671556723b2215277e38ad407f58b1,657
0722d8c9c144b0040b5b3e2382cf41a73fd0630e,273
0722e68ca3aed77d06eca76c35dcb9307479db41,739
07269f652dc10e1c0fa16b6ac8c9f1ec72be0828,73
072f5b7dac9320377de7b57bf47ecf091d758265,208
0731b807ba6e8b878a77316689f5370520bf88cf,379
07327ceaebd914d568ae4b7db75ce4b8d8b5742c,273
0733ce6ab83eb2a519c0e684d5cd8a24cbdd486c,202
073f45619ff8276923899411ff59de6a8c17bd93,735
0752666505ba9594ad9c5b0b9b8fe390d76fbff7,553
0755977d8e8e599c3df0f88caf23d4a97a180efb,507
07559aca554f680f1baa3da2881d356cda4191c7,600
075f8d2fd44f32f8567d0c5b4fc5bfff233a07f6,21
0763d5fedc075a4e78e8d2c92f08bb5a3bd15e1c,485
076659250287f95c80b99ddc0e5453895083bda0,554
076adc9cc384e6820b08e876781e3c07b8feea1e,82
076d73fce2ea28989748c08a41daa7e6c575ecc3,78
077179d8945797c1a84f91dc52b0ca33bb595bb2,292
0773ab2dcc8dfa808c7214b398db860ee91b848a,606
0777a53e41c1bb0f1c9651181ed804a36b28fc4d,128
077dafede3ae39fd29a32280a1f61834d5c31ba1,707
077f565f089504b81d67f7187394128f813dc6cc,589
078391fcbcb38cd70a1ea07c98eec54496058f43,90
0787be38b434407625556967ea12990a3be1fe72,82
078dcab13feba5f855394717c2977a151af52703,623
07923d7795259870803be1927ed82c51a6b5fd0f,688
0792cae852ae14a9c798b5371184189c032ef38b,73
0794a1c87e9e59b4e6215aab93380ed8b55ac4c3,41
079d149ea2183d14dc485015907baa5d4a775601,156
079fbd48374552c7f917eed3c4aa60d17e12fd67,511
07a1485b6673933f53aafc87e102ad73ccdef419,49
07a8523f261c55b5bb7442dc3dba394c1209b046,679
07b211893f51833a068c30cf942e7060d2bc0586,482
07b7b87c4ecd0aa4375e117d2cde7d83e9753eaf,128
07bcc9d4c50bbbb8df46595890b1bd8103cee72f,21
07c1ea690ed000d4b0aee8c3033df97e57ed6efa,775
07c62599ae377cc32aae53368aaa9a946009a782,82
07ce0f7cc3c1f9f04353e1dbf665f75b2d6aebd5,90
07ce5ae2dc029c7396a088269ae9b54a78cdb521,482
07dd52f2f99d7d8336b3dbe351293659f7471af2,280
07de33f711f80301c00c34d9093fc6292d51a0d3,202
07e1d4139d075831aeb06ec4afaf45915254402e,405
07e216096fbcd3330a6bed72e0f108043704ba3e,565
07eaef14159ae0103783ee85ee2246a1287656e1,603
07ebc21df5a66d35aebf8cb1c8532857de4af339,21
07ec903e97b828b7731c142af87c7fef4badf4a9,47
07f460da6c5090da51f645396c30045056d42d16,281
07f4f0ca7e7c0396e1488eb93c37caa547797eb3,482
07fb646e30c5b9242d19be93d419e66c63a0d7c5,4
07fb9818903f9c85f2eb38b4fdcbc2dc738f299a,283
080d0c01049ab73045bc2ee8347f6da21c5b20ac,169
0812c79b2412bd044dc4fed076e609e9c5150e91,560
08207d42b72e0c28284dd49a21c20d9f00de7a3d,610
0823ef9a5178bc13f33036fa35cbbfdd4b64aa49,119
08257ffa8d69702356c58cb75742d65e0adc7916,539
08271372603aff7a582dfd0b71eb39cb66c23f40,482
082e7d278fdbe9ddd6d00f84a4f962beebc32798,482
083079158b240e1de9b513b60bd86812c5f8eb41,316
0831e5d4e10043e654941c7bc7afe267f262f295,657
0836c3af4f5a88ebecaf6b5509f4ada7c201d2ff,21
0839818ff466ad34360599923cf20fcb594ae37c,332
0839da1bce6c7d26d1a546d7bcdbfe066f667744,119
083a1716a0c048c3b20fc2f1e592dbff60fe255f,21
083f16cd10b2ad8f1d1f2e6002e0989a93e91f4c,529
0840f69bb153955c850811b032245ea9948753a6,6
084363390c4da87d6e934472bc49fe5cc280c266,677
084515facc04a0a32e2af28e4c1bffbaff90c56d,552
08572a639f05cf358fc7262cb1d187b637d67fb8,482
